review_body,review_rating
"Einseitig positive Bewertungsvorauswahl scheint hier vorzuliegen. Schon zum zweiten Mal klicke ich auf das Trusted-Shops-Logo, nachdem ich unzufrieden mit einem Kauf bin, werde zu den Bewertungen geleitet, kann dort aber nicht selbst bewerten. Vermutlich muss man vom Shop einen Bewertungslink bekommen. Dieser kann vom Shop aber bei Erwartung schlechter Bewertung vermutlich versagt werden. Das ergibt kein repräsentatives Bild und nur eine bedeutungslose Gesamtnote. TS erzählt viel von »verifizierten Bewertungen«. Einseitige, »verifizierte« Bewertungen sind jedoch nichts Wert. Mein Vertrauen hat TS aktuell daher nicht.UPDATE: Trusted Shops Antwort geht an meiner Kritik im Kern vorbei. Der Betreiber bestimmt weiterhin im Wesentlichen, wer Bewertungen abgeben kann. Folglich ist das Ergebnis ohne Aussagekraft. Das werde ich nicht durch meine Kooperation aufwerten.",1
"Wir haben wiederholt Bewertungen gemeldet, die nachweislich falsche Tatsachen enthalten. Leider wurden diese Meldungen mehrfach abgelehnt. Dabei handelt es sich nicht um subjektive Meinungen, sondern um überprüfbare Falschaussagen, die unserem Unternehmen schaden.In früheren Fällen wurden vergleichbare Bewertungen nach Prüfung auch entfernt, was die aktuelle Vorgehensweise für uns schwer nachvollziehbar macht. Wir wünschen uns mehr Transparenz, eine konsistente Linie und eine neutrale Prüfung, um Fairness sicherzustellen.Grundsätzlich halten wir Plattformen wie Trusted Shops / Trustpilot für sehr wichtig, um echten Kunden eine Stimme zu geben. Umso entscheidender ist es, dass der Schutz vor eindeutig falschen Tatsachenbehauptungen ernst genommen wird.",1
"Haben bei meinkuechenstudio-de einen Artikel bestellt.Defekter und dreckiger Artikel wurde geliefert.Keinerlei Service von meinkuechenstudio-de erhalten, aber bei Trusted Shops die besten Bewertungen!Ich z.B. kann keine Bewertung abgeben, komisch oder? Wahrscheinlich alles nur Fake, Lug und Betrug!",1
"Bei toto24de eine Parkside ( LIDL PRODUKT ) Sackkarre bestellt.Nach dem 3.,oder 4. Versuch vorn die Auflage gebrochen.Zurück,mit Retoureschein.Als Antwort kam,ich hätte sie unsachgemäß behandelt und daher kein Tausch,bzw Erstattung. Für den Kauf bezahlte ich 5,90 Euro,nun für die Rücksendung zu mir,6,90 Euro.Finger weg von diesem eBayer",1
"Vielleicht bin ich nur zu mißtrauisch. Aber es versetzt mich schon zum Nachdenken, wenn ich eine auf TRUSTEDSHOPS veröffentliche Bewertung einfach nur liken möchten, aber dazu meinen ""Ad-Blocker"" ausschalten soll.Will man nur Daten über mich sammeln oder warum diese Massnahme ?Und wenn ich mir die Bewertungen auf dem Portal TRUSTEDSHOPS anschaue, habe ich komisches Bauchgefühl, da für mich überdurchschnittlich viele Bewertungen mehr als 3 Sterne haben. Schlechte Erfahrungen scheinen sehr sehr selten.NACHTRAG:Ich kann sehr wohl zwischen TRUSTEDSHOPS und TRUSTPILOT unterscheiden. Ich habe mir Bewertungen zu einem Shop auf mehreren Portalen angesehen und wollte eine auf TRUSTED SHOPS abgegebene Bewertung eines Users zu diesem anderen Shop  einfach nur liken. Für das liken sollte ich den AD-Blocker abschalten um bei TRUSTED SHOPS liken zu dürfen. Sehr fragwürdig. Deshalb habe ich für das Portal TRUSTEDSHOPS eine negative Bewertung auf TRUSTPILOT (also hier) abgegeben.  Man kann ja auch mal ein anderes Bewertungsportal nicht gut finden. Das TRUSTEDSHOPS davon nicht begeistert ist kann ich nachvollziehen. Bei Trustpilot bin ich jedenfalls noch nie aufgefordert worden, einen AD-Blocker abschalten zu müssen.",1
Lächerlich! Rückerstattung wird trotz fehlender Lieferung verweigert. Wofür bezahlt man denn dann die Gebühr???,1
"Trusted Shops Käuferschutz leistet keine Hilfe:Ich habe eine Trusted Shops Plus Mitgliedschaft für 12 Euro im Jahr abgeschlossen und bei einem mit Trustet Shops ""abgesicherten"" Onlinekauf keine Ware erhalten. Alle Kontaktanfragen mit dem Verkäufer blieben erfolglos. Den Käuferschutzfall habe ich innerhalb der Frist geöffnet. Trusted Shops hat sich überhaupt gar nicht um den Fall gekümmert, nur ein automatisiertes Fallschema geöffnet und dann nach ausführlicher Schilderung zweimal automatisiert nachgefragt, ob das  Problem noch besteht. Mir wurde in keiner Weise geholfen, die ganze Masche ist eine reine Augenwischerei. Ich kann das nicht empfehlen",1
"Ich hatte ein kostenpflichtiges Upgrade. Trotzdem wurden ab und zu Bestellungen nicht automatisch übernommen. Als ich das bemerkte, war ein händisches nachtragen nicht mehr möglich. Der Support hat diesbezüglich auf meine Anfragen bis heute nicht reagiert. Nun habe ich einen Fall geltend gemacht, auch hier zieht sich alles wie ein Kaugummi ....Update 23.09.25Nachdem Mediamarkt den Betrag endlich refundiert hatte, kommt nun, über 2 Woche später!, ein Mail von Trusted Shops ""Wir prüfen aktuell deine Absicherung zur Bestellung  bei mediamarkt. Um den Fall abschließen zu können, benötigen wir noch folgende Informationen von Dir: ...."" Wirklich ein paar Wochen nach Meldung! Nein Danke! Nie wieder Trusted Shops ",2
"Bewertungen werden nicht richtig geprüft. Seit ca. 1 Woche habe ich eine negative Fake-Bewertung oder eine irrtümliche Bewertung erhalten. Die Bestellnummer gibt es nicht in meinem System und auf Anfrage schickt mir der Support nur diese nicht existierende Bestellnummer.Update: warum veröffentlich Ihr eine Bewertung für die kein Bestellnachweis existiert? Der Name UND die Bestellnummer existiert nicht in meinem System. Es ist rufschädigend für ein Unternehmen wenn eine 1-Sterne Bewertung mit folgendem Text ohne Prüfung veröffentlicht wird:---""Nicht!!!!!! vertrauenswürdig bestellt bezahlt und nichts bekommen…. Mehrmals angeschrieben ….Kann nur sagen fallt nicht drauf rein…""---Zufällig habe ich diese am 28.08. im Urlaub entdeckt. Auf meinen Hilferuf, dass die Bestellnummer nicht in meinem System existiert habe ich erst nach 7 Tagen am 03.09. von eurem Support eine Antwort erhalten.Hier der Original-Text den ich am 28.08. über die Melden-Funktion an den Support geschrieben habe:---Bitte die Bewertung unverzüglich entfernen.Das ist eine Fake-Bewertung. Diese Transaktion hat nie stattgefunden!---Das war dann ganze 7 Tage später, am 03.09. die tolle Antwort von Eurem Support:---Hallo,  vielen Dank für deine Nachricht. Gerne sind wir dir behilflich, einen Bestellbezug zur Bewertung herzustellen.  Die Bewertende / der Bewertende hat uns folgende Bestellnummer übermittelt: Bestellnummer BESTELLUNG #1632  Ich würde mich sehr freuen, wenn du deine Service-Erfahrung mit Trusted Shops hier bewertest.Freundliche GrüßeXXXXX---Ich wollte keinen Bestellbezug. Ich habe deutlich darum gebeten die Bewertung zu entfernen.",1
mir wurde ein kostenpflichtiges Jahresabo untergejubelt,1
