,review_body,headline,rating_value
0,"Anmeldung auf Dysfunktionalität optimiert.Gut man hat vlt nicht nehr die Anmeldemarathons wie früher mit fast Zehn verschiedenen Nummern mobil / online Pins . Dennoch funktioniert es immer noch nicht richtig. Eine Zeitlang hat das mit der QR-Code anmeldung recht rasch funktioniert, jetzt scheitert es aber daran, dass einfach kein QR-Code mehr angezeigt wird. Es gibt ein Hinweis, dass man einen Benutzernamen festlegen soll, dumm ist nur, dass man ihn an keiner Stelle festlegen kann , es steht auch nirgends wie wo oder wann. Perplexitiy meint es gänge nur nach Aufforderung, diese blieb aber bisher aus. Also wieder mit der alten Angabe : Ein OnlinPin und ein Passwort, was aber auch nicht immer klappt, weil man muss es ja noch über die app,  bei der man sich auch mit einem mobilePin anmelden muss und ebenfalls immer nach 5 minuten abgemeldet wird , als Auftrag bestätigen, dieser kommt aber nicht immer.Bei der Anmeldung (weil sie so ""einfach"" ist) , gibt es Youtube-Erklär-Videos , aber nicht mal diese lassen sich abspielen. Und einen ""Service"" zu hilfe anrufen, forget it , da werden auch wieder irgendwelche Nummern abgefragt, um die Hotline zu entlasten und um noch mehr Zeit zu verschwenden. Zinzen sind auch unterdurchschnittlich, daher wollte ich mein Geld zurücküberweisen, ging aber auch nicht, weil irgend wann ma pauschal das Überweisungslimit (ohne zu fragen) auf 2000€ festgelegt wurde, immerhin wurde bei der Fehlermeldung ein Link angegeben um dieses zu ändern, dieser führte mich aber wieder auf die Startseite ... Es ist einfach nur noch krautig",Anmeldung auf Dysfunktionalität…,1
1,"Ich fühle mich bei der ING sehr gut aufgehoben. Bin zwar noch recht neu, aber mein Bauchgefühl hat mich bis jetzt noch nie enttäuscht. Eröffnung, App und Produkte können sich sehen lassen. Für mich gehen die Zinsen, egal ob Extra Konto oder Sparbrief, völlig in Ordnung. Den Support brauchte ich bis jetzt noch nicht, da alles selbsterklärend ist. Trotzdem auch mal einen lieben Gruß an das Support/Social Media Team usw. Ihr seid wirklich überall und antwortet den Leuten. Sowas sieht man selten heutzutage und sollte anerkannt werden 🦁🧡 LöwenstarkGrüße gehen raus✌🏽",Bin sehr zufrieden ,5
2,Ich bin gerade zur ING gewechselt und hatte eine Frage an den Kundenservice.  Meine Frage wurde von einem freundlichen Mitarbeiter kompetent beantwortet. 4 Sterne da ich gerade erst neu bei der ING bin.,Neu zur ING gewechselt,4
3,Super Team! ,Super Team!,5
4,ProblemlosSchnellZuverlässig ,Kilian Hemmerlein,5
5,"Sehr nette und hilfsbereite Mitarbeiter am Telefon, kurze Wartezeiten bei der Vermittlung.",Sehr nette und hilfsbereite Mitarbeiter…,5
6,"Als (reine) Online-Bank sehr gut, und das schon seit vielen Jahren. Aber wehe, man hat ein Problem und muss sich an den unterirdischen telefonischen ""Kundenservice"" wenden. Ihr Chatbot stiehlt wertvolle Lebenszeit und zum Schluss wird man aus der Leitung geworfen. Liebe ING-Manager probiert eure Hotline doch einmal selbst aus und entscheidet dann, ob es eine gute Idee war, seinen guten Ruf mit so einer ""Kundenabwehr"" zu beschädigen.",Kundenservice,4
7,Bis auf das Marketing Team eine sehr gute Bank mit sehr schnellen Antworten. Keine andere Bank arbeitet so zuverlässig und Kundenorientiert wie ING,Bis auf das Marketing Team sehr gut!,5
8,"Die Kunden Beraterin Fr. Simone J. war sehr Geduldige Fach Frau an der Richtige Stelle, wo Sie mich bei jede Forderungen Sauber begleitet.Ich bin durch Ihre Unterstützung endlich Geschafft. Danke dafür ",Die Kunden Beraterin Fr Simone.j,5
9,"Eine Tortur überhaupt eine ""Person"" an die Strippe zu bekommen. Hat unglaublich lange gedauert und war sehr umständlich. Kann man leider nicht empfehlen. Vor einiger Zeit war dieser Service viel besser....",Schlechter Service,1
10,Eine gute App mit schneller Performance. Die Bearbeitung der bisher gestellten Online-Anträge ging immer innerhalb weniger Werktage von statten. Ich hatte auf Grund von Problemen bisher nur zwei Mal Kontakt mit der Hotline. Hier war allerdings die Wartezeit schon arg lang und beim ersten Mal konnte mir am Telefon durch den Mitarbeiter nicht weitergeholfen werden. Erst beim zweiten Anlauf hatte ich eine kompetente Kollegin am Hörer. Im großen und ganzen bin ich mit den Produkten und Möglichkeiten in der App sehr zufrieden und schon jahrelanger ING-Kunde. ,Eine gute App mit schneller…,4
11,"Früher war ich sehr zufrieden, man kommt gut an Geld, die Onlineprozesse sind gut. Nun wurde die Kontaktaufnahme deutlich erschwert, man wird durch unzählige Menüs geführt, erst nach 7 Minuten kam ich in die Warteschleife. Natürlich hatte ich über die App angerufen und dabei das entsprechende Baukonto ausgewählt. Das half aber so gar nicht, ist aber alternativenfrei. ",Früher war ich sehr zufrieden,2
12,"Seit nun mehr als 11 Jahren bin ich Kunde bei der ING und immer noch überzeugt von der Bank, dem Service und den Produkten, die von der ING angeboten werden. Was die ING für auszeichnet:- Clever und übersichtlich gestaltete App, über die ich jederzeit meine Finanzen im Blick habe und alle alltäglichen Aufgaben erfüllen kann.- Hilfreicher und schneller Kundenservice bei bisher allen meinen Anliegen sei es Depot, Konten oder Karten. - Transparente und gut einsehbare Leistungen, sowie eine gute Kommunikation zwischen Bank und dem Kunden.",Über 11 Jahre Kunde und immer noch Top!,5
13,"Als ich vor zwei Jahren zur ING gewechselt bin, war ich überzeugt, die richtige Entscheidung getroffen zu haben: Keine Kontoführungsgebühren und dazu noch ein 100 € Bonus für den Einstieg – das klang zunächst absolut attraktiv. Heute, zwei Jahre später, muss ich jedoch feststellen, dass ich diesen Schritt zutiefst bereue.Die 2,2 % Gebühren bei Karteneinsätzen im Ausland sind zwar ärgerlich, aber noch irgendwie nachvollziehbar. Was jedoch völlig inakzeptabel ist: Selbst bei Onlinebuchungen von Hotels oder Tickets über Plattformen wie Booking oder Klook werden diese Gebühren fällig – obwohl es sich hierbei um eine einfache Internetzahlung handelt. Wie soll ein Kunde bitte im Voraus erkennen, in welcher Währung die Belastung tatsächlich erfolgt?Das hat nichts mit einem „Auslandseinsatz“ zu tun, sondern wirkt schlicht wie eine versteckte Kostenfalle. Für mich ist das nicht mehr hinnehmbar, und deshalb werde ich mich in absehbarer Zeit nach einer neuen Bank umsehen.",Kostenfallen bei Onlinezahlungen,1
14,Es war alles Super bis es Anfing mit den Gebühren und mindest Eingang von Geldmenge. Das macht das Konto für mich umständlicher. ,Es war alles Super bis es Anfing mit…,4
15,Mit dieser App kommt jeder klar.Bedienung einfach und logisch.,Mit dieser App kommt jeder klar.,5
16,"Sehr moderne, benutzerfreundliches Internet Banking, sowohl auf Desktop als auch per Handy.Leider nur wenige Geldautomaten zum Abheben von Bargeld.",Gutes Internet Banking,4
17,"Ich bin sehr zufrieden mit der Bank. Schnell, unbürokratisch, zuverlässig, und vertrauenswürdig.Rundum eine empfehlenswerte Bank.Aber ein kleines Manko gibt es doch noch. Das sind die langen Wartezeiten am Telefon.Doch die Bank ist toll.","Das ist meine Bank, die mit dem Löwen.",5
18,Super geduldige Mitarbeiterin am Telefon,Super geduldige Mitarbeiterin am Telefon,5
19,Die Dame am Telefon konnte mir sehr gut weiterhelfen da meine Karten nicht funktioniert haben. Leider hat der Tipp mit dem Barheld abheben nicht funktioniert und ich musste nun 2 neue karten bestellen. Aber sie hat mir direkt die Gebühren überwiesen und somit sind für mich keine weiteren Kosten entstanden. ,Nicht funktionierende Karten,5
20,"Im Gegesatz zur Sparkasse bin ich mit der ING sehr zufrieden.Bei Problemen unkomplizierte ,kompetente Hilfe .Für mich die beste Bank",Im Gegesatz zur Sparkasse bin ich mit…,5
21,Ich habe bisher noch keinen Grund zur Unzufriedenheit gehabt. Der Service hat sich stets verbessert. Danke!,Top Online Bank,5
22,Ich komme gut mit App und Website zurecht. Die Bedienung erscheint mir verständlich und logisch. Bisher hat immer alles gut funktioniert und es gab keinerlei Probleme. So muss Online Banking sein!,Gute Erfahrungen mit App und Website,5
23,"Super App. Auch der Support ist spitze. Die Dame am Telefon hat sich lange Zeit für mich genommen, um meine Probleme zu lösen.",Super App,5
24,"Zuverlässig, gutes Preis-Leistungsverhältnis",Zuverlässig,5
